nom,region,lat,lng,houle_direction,houle_taille_min_m,houle_taille_max_m,vent_direction_ideal,maree_ideale,type_break,type_vague,crowd
Hossegor - La Gravière,Landes,43.6625,-1.4423,N-W,1.5,3.5,E,toutes,beach break,creuse,fort
Mundaka,Pays Basque Espagnol,43.4066,-2.6977,N-NW,1.5,4.0,S-SE,mi-marée montante,point break,creuse,fort
La Torche,Bretagne,47.8414,-4.3378,W-SW,1.2,3.0,N-NE,toutes,beach break,average,fort
La Baie des Sables,Vendee,46.4972,-1.7833,NW-SW,0.3,2.5,NE,toutes,beach break,molle,fort
Lacanau,Gironde,45.0028,-1.2015,NW-SW,0.3,3.0,E,toutes,beach break,average,moyen
Le Truc Vert,Gironde,44.7200,-1.2400,NW-SW,0.3,2.5,E,toutes,beach break,average,moyen
Biscarosse Plage,Landes,44.4464,-1.2596,NW-SW,0.3,2.5,E,toutes,beach break,creuse,faible
Parlementia,Pays Basque,43.4272,-1.6087,N-W,1.2,5.0,E,toutes,reef break,creuse,fort
Lafitenia,Pays Basque,43.4140,-1.6282,N-W,0.9,3.0,SE,toutes,point break,creuse,fort
Zarautz,Pays Basque Espagnol,43.2864,-2.1747,N-NW,0.3,2.0,SW,toutes,beach break,average,fort
Playa de Canallave (Liencres),Cantabrie,43.4631,-3.9578,N-NW,0.6,3.0,SE,mi-marée et haute,beach break,average,faible
Plage de Berria,Cantabrie,43.4441,-3.4434,N-NW,0.3,2.0,S,toutes,beach break,molle,moyen
Plage de Langre,Cantabrie,43.4800,-3.5800,N-W,0.6,2.0,S,toutes,beach break,average,faible
Ajo,Cantabrie,43.5100,-3.5900,N-W,0.8,2.0,SE,toutes,beach break,average,faible
Plage d'Oyambre,Cantabrie,43.3900,-4.3900,N-W,0.6,2.5,SW,toutes,beach break,molle,faible
Gerra,Cantabrie,43.3850,-4.3800,N-W,0.6,2.5,SE,toutes,beach break,molle,faible
Plage de Somo,Cantabrie,43.4700,-3.5800,N-NW,0.6,2.5,S,toutes,beach break,molle,fort
San Antolin,Asturies,43.4800,-4.8300,N-W,0.6,2.5,S,toutes,beach break,average,faible
Torimbia,Asturies,43.4500,-4.7800,N-W,1.5,5.0,S,toutes,beach break,average,faible
Playa de la Vega,Asturies,43.5600,-5.1700,N-W,1.0,3.5,S,toutes,beach break,average,moyen
Playa de la Concha de Artedo,Asturies,43.5700,-6.0800,NW,0.8,2.0,S,toutes,beach break,molle,faible
Playa de Xago,Asturies,43.5900,-6.0900,N-W,1.0,2.5,SE,toutes,beach break,creuse,faible
Salinas,Asturies,43.5800,-5.9700,N-W,0.9,2.5,S,toutes,beach break,average,moyen
Rodiles,Asturies,43.6100,-5.3900,NW,1.5,4.0,SW,basse,point break,creuse,fort
Tapia de Casariego,Asturies,43.5700,-6.9400,N-NW,0.8,3.0,SW,toutes,beach break,average,faible
